claimant_id,name,ssn,dob,address,phone,email,license_number,is_fraud_ring,fraud_ring_id
CLM_LEG_0,Abigail Shaffer,715-55-5575,1963-11-30,"433 Jill Springs
New Roberttown, CO 29158",989.608.3863,jasongallagher@example.org,DL12448136,False,
CLM_LEG_1,Michael Miles,700-83-1170,1986-06-16,"9407 Teresa Lane Apt. 849
Barbaraland, AZ 87174",441.731.6475,amandasanchez@example.com,DL50929647,False,
CLM_LEG_2,Zachary Hicks,094-97-0772,2003-08-08,"503 Linda Locks
Carlshire, FM 94599",837-767-2423x88496,hernandezernest@example.net,DL56661351,False,
CLM_LEG_3,Brian Cox DVM,827-40-3924,1948-12-11,"9784 Erin Crescent Suite 514
Mooretown, VA 94830",282-781-4893x252,nataliearroyo@example.org,DL98234974,False,
CLM_LEG_4,Crystal Robinson,073-91-0965,1960-08-01,"227 Joseph Well
Brandtside, WV 96174",001-734-265-7871x331,whiteheadmichele@example.org,DL69008866,False,
CLM_LEG_5,Donald Wright,078-57-9017,1951-09-01,"82997 Kristen Valley Suite 311
Gomezchester, NH 96062",9104651333,pearsonamber@example.org,DL12517517,False,
CLM_LEG_6,Anthony Fitzgerald,063-96-5139,1948-11-22,"PSC 3267, Box 7360
APO AE 50173",5646746872,silvawesley@example.net,DL21130263,False,
CLM_LEG_7,Marc Hart,103-10-8809,1959-07-05,"19136 Shelly Port
New Brooke, RI 11246",(799)385-4353x46247,david51@example.org,DL49597086,False,
CLM_LEG_8,Carlos Whitney,166-95-7240,1982-07-19,"498 Elizabeth Plaza Suite 124
North Juliaberg, KY 37431",+1-235-234-8740x164,hhoffman@example.org,DL92747083,False,
CLM_LEG_9,Allison Doyle,341-53-4066,1963-02-28,"PSC 8059, Box 8262
APO AE 40905",(405)433-1586x923,kristinrodriguez@example.org,DL63174945,False,
CLM_LEG_10,William Wilson,591-25-4174,1948-01-10,"4330 Raymond Harbors Apt. 458
Frazierside, MA 04118",742-794-0196,zsmith@example.net,DL92188405,False,
CLM_LEG_11,Jeffrey Carpenter,671-42-7619,1975-01-25,"6159 Alvarado Crossing
Williamchester, MD 53244",001-248-623-6629x946,glowe@example.com,DL98779073,False,
CLM_LEG_12,Robert Dominguez,476-07-9133,1961-12-17,"8951 Emily Fork
East Andrew, IA 62778",+1-317-869-3676x320,bryantlaurie@example.net,DL71287314,False,
CLM_LEG_13,Joshua Taylor,237-50-2504,1993-01-28,"Unit 9579 Box 8687
DPO AE 97973",674.734.8734x7143,calebrussell@example.net,DL62535301,False,
CLM_LEG_14,Veronica Ferguson,404-76-9247,1990-02-13,"6909 Woods Knoll
Karenchester, ND 98479",001-489-937-3467x0656,millerroy@example.com,DL24391257,False,
CLM_LEG_15,Kristy Robinson,717-33-6044,1956-06-03,"3755 Ramirez Village Suite 417
Lake Amberstad, IN 85716",400-933-0923,stricklandfrank@example.com,DL14508768,False,
CLM_LEG_16,Tamara Hampton,477-56-9708,1963-04-09,"663 Brittany Village Apt. 149
Port Tonyaton, MI 70328",(451)685-0671x65726,melissa14@example.com,DL32730796,False,
CLM_LEG_17,Michael Torres,596-48-7754,1982-09-01,"0752 Lewis Union Suite 549
Angelahaven, ID 11722",367.683.7770,ronald85@example.com,DL94335593,False,
CLM_LEG_18,Anthony Carter,130-82-8043,1951-12-26,"3135 Julia Track Apt. 337
Jennyhaven, PA 37594",434-635-2408,andrewstaylor@example.com,DL45728776,False,
CLM_LEG_19,Elizabeth Chapman,440-40-9317,1987-04-07,"7116 Jones Roads
East Edwardshire, ME 11665",818.969.9938,lynchjody@example.org,DL83955206,False,
CLM_LEG_20,Ricky Larson,845-73-4729,1974-11-21,"32812 Ricky Spurs
Carterbury, LA 93163",471-334-9361x8324,harrisonkevin@example.com,DL36540265,False,
CLM_LEG_21,Shannon Rivera,711-64-4723,1990-02-03,"1906 Munoz Burg Apt. 399
Port Emilyview, OK 05774",001-727-787-4296x71756,jcervantes@example.org,DL61045700,False,
CLM_LEG_22,Susan Murray MD,853-20-8166,1993-10-08,"1680 Gutierrez Field Suite 977
East Josephberg, LA 57925",001-371-509-3248x086,william46@example.com,DL63380266,False,
CLM_LEG_23,Sheila Pollard,245-74-6275,1960-11-24,"3982 Joshua Turnpike
Morganhaven, KY 00837",849-997-2787x5588,vwilliams@example.com,DL94654083,False,
CLM_LEG_24,Sarah Villarreal,390-41-7995,2004-05-15,"PSC 6627, Box 0289
APO AA 13655",818.370.2621x745,williamsonjimmy@example.net,DL38571356,False,
CLM_LEG_25,Leon Reyes,700-31-8154,2007-02-14,"Unit 1611 Box 7240
DPO AE 43017",4454562386,jesselittle@example.com,DL34269370,False,
CLM_LEG_26,Crystal Pham,225-82-3116,1987-04-04,"8217 Huerta Hills Suite 474
South Melissa, CT 31592",(995)694-4064x0909,erica21@example.net,DL86750368,False,
CLM_LEG_27,Michael Chambers,599-49-6087,1952-05-17,"95214 Burgess Extensions Apt. 285
Mariaview, PW 63657",651-371-2368x5160,thomasharvey@example.net,DL44024257,False,
CLM_LEG_28,Lisa Crosby,287-05-6071,1959-10-16,"PSC 3174, Box 6120
APO AE 40394",811.338.2675x8692,pwallace@example.com,DL13335151,False,
CLM_LEG_29,Charles Lester,003-36-2371,1953-11-06,"Unit 5850 Box 6431
DPO AA 12516",+1-539-500-5329x31839,lauren10@example.org,DL1994519,False,
CLM_LEG_30,Jessica Rodriguez,730-57-1205,2006-03-14,"502 Williams Streets
Foxland, NJ 59257",001-258-991-7839x08470,morriseddie@example.org,DL36912022,False,
