lawyer_id,name,bar_number,firm_name,address,phone,is_fraud_involved
LAW_0,Martin Wagner,BAR6741393,Cobb & Associates,"8007 Jill Groves Suite 366
South Megan, MN 84193",+1-950-245-8387x5007,True
LAW_1,Amy Lopez,BAR7445740,Clarke & Associates,"59804 Jason Creek
Emilyshire, MT 35188",5105146019,True
LAW_2,Adam Boyle,BAR2791411,Andersen & Associates,"93164 Kathleen Locks Apt. 316
West Brianside, FL 25444",601-771-7199,True
LAW_3,Oscar Williams,BAR1847745,Munoz & Associates,"81900 Gutierrez Mill Apt. 526
West Carly, CO 62346",(235)824-1302x28671,False
LAW_4,Patrick Smith,BAR4946808,Perkins & Associates,"Unit 5777 Box 4149
DPO AE 48631",817.353.2279x9752,False
LAW_5,John Durham,BAR8793064,Larson & Associates,"831 Arellano Island Apt. 114
Lake Jose, GA 38873",001-984-654-6731x371,False
LAW_6,Steven Smith,BAR6876428,Morales & Associates,"085 Yang Avenue Apt. 401
South Richardland, NH 04292",(313)901-1273x8318,False
LAW_7,Timothy Hanna,BAR7887449,Matthews & Associates,"0019 Elizabeth Walk Suite 426
Lake Patriciamouth, OH 19972",711-664-3424x1147,False
LAW_8,Terri Thomas,BAR8861210,Thomas & Associates,"642 Laura Manors
Richardbury, NC 78829",(915)692-3466x521,False
LAW_9,Frederick Juarez,BAR3919503,Garcia & Associates,"506 Kimberly Rue Suite 113
Bairdville, IN 84630",+1-746-931-0789x07869,False
LAW_10,Amy Grant,BAR8839713,Perez & Associates,"544 Torres Parks
East Joseph, IN 49144",+1-797-536-9701x6852,False
LAW_11,Robert Park,BAR5364848,Williams & Associates,"Unit 9370 Box 1185
DPO AP 52645",+1-297-740-9529,False
LAW_12,Mary Gomez,BAR5873714,Webb & Associates,"472 Sanders Causeway
Shahburgh, LA 10588",(211)895-4062x78908,False
LAW_13,Christina Gill,BAR2518143,Choi & Associates,"592 Kimberly Estates Apt. 312
Peterfort, DC 45880",3386561627,False
LAW_14,Douglas Thompson,BAR8297407,Lopez & Associates,"74214 Alexander Glen Apt. 079
South Jose, MN 85630",271.799.4250x59253,False
LAW_15,Ryan Sutton,BAR8249296,Snyder & Associates,"4273 Richards Motorway
East Abigail, SC 13548",(312)292-1351x11330,False
LAW_16,Cody Dougherty,BAR744091,Thompson & Associates,"412 Donald Stream Apt. 232
New Timothybury, NC 99146",970-594-3913x70858,False
LAW_17,Christopher Perez,BAR1872444,Coleman & Associates,"USNS Taylor
FPO AP 07589",609.693.7151x93178,False
LAW_18,Kimberly Buchanan,BAR4133107,Fernandez & Associates,"738 Cody Underpass Apt. 704
Randallport, MP 48505",540-677-0053x55882,False
LAW_19,Ashley Martinez,BAR8576075,Johnson & Associates,"385 Linda Dale
Travisshire, OH 22255",287-953-7156x41533,False
LAW_20,Jane Butler,BAR8278180,Brown & Associates,"31191 Terry Cove Suite 530
South Jamie, DE 25445",503-277-9170x379,False
LAW_21,Robert Carpenter,BAR853033,Kemp & Associates,"207 Lindsay Lock Apt. 474
West Ryan, KY 63177",225.750.6529,False
LAW_22,Colleen Roman,BAR7401391,Weber & Associates,"2095 Dunn Shore
Port Jimmouth, AL 70901",799-968-4456,False
LAW_23,Dr. Michelle Chan DVM,BAR7503822,Baker & Associates,"Unit 0540 Box 5155
DPO AA 63985",209-220-1675x993,False
LAW_24,Stephen Shields,BAR1315976,Turner & Associates,"7091 Logan Groves
Howardhaven, KS 01229",7006400464,False
LAW_25,Janice Conner,BAR4960869,Dennis & Associates,"2560 Holder Plaza Apt. 466
West Scott, AR 11400",380.479.5118,False
LAW_26,Ashley Olsen,BAR5920746,Thompson & Associates,"159 Guzman Inlet
North Matthew, AK 58066",574-316-4776,False
LAW_27,Melissa Orozco,BAR2622443,Haynes & Associates,"7025 Richmond Courts Suite 844
Noahchester, LA 48404",001-989-424-4183x28113,False
LAW_28,Patrick Becker,BAR8273081,Mahoney & Associates,"759 Jennifer Grove
Teresashire, ME 03124",4946658463,False
LAW_29,Sarah Gordon,BAR9397755,Smith & Associates,"USNS Mendoza
FPO AP 84203",+1-776-349-7378x05342,False
