provider_id,name,specialty,address,phone,npi_number,is_fraud_involved
MED_0,Dr. Ashley Castro,Neurology,"50194 Lewis Oval
Taylorborough, NY 76970",(254)299-7791x7822,2769413993,True
MED_1,Dr. Alvin Newton,Chiropractic,"690 White Corner Suite 759
Danielshire, WI 99428",001-409-667-1080x04587,9262640643,True
MED_2,Dr. Scott Yoder,Pain Management,"5294 Melissa Key Apt. 719
Mooremouth, CA 24099",+1-934-533-5367x5777,3525226378,True
MED_3,Dr. Roy Cook,Physical Therapy,"31049 Greene Glens Apt. 771
Port William, WY 54625",999-607-4666,2038251093,True
MED_4,Dr. Stephanie Brady,Pain Management,"3566 Kimberly Street
East Ericborough, MS 75581",(325)258-7673x507,7134740992,False
MED_5,Dr. Michael Delgado,Orthopedics,"4612 Davis Ridge Apt. 631
Thompsonmouth, MA 52204",001-844-539-0951x956,4289973042,False
MED_6,Dr. James Price,Orthopedics,"51640 Dixon Ways
Port Kevinhaven, CT 12350",953.473.9652,6853466521,False
MED_7,Dr. Kimberly Alexander,Neurology,"5489 Thomas Falls
Lynchville, MD 38831",001-482-870-0293x313,5132639682,False
MED_8,Dr. Jennifer Moore,Chiropractic,"57712 Alicia Extensions Suite 195
Mullinsfort, NE 87851",(958)292-2355x285,8152919029,False
MED_9,Dr. Richard Hernandez,Chiropractic,"335 Amy Mill
Garciaborough, MI 78964",+1-764-272-6847x4645,2233042859,False
MED_10,Dr. Adam Hanna,Physical Therapy,"Unit 5088 Box 0875
DPO AA 97498",850-958-1058x0108,6848500406,False
MED_11,Dr. Debbie Porter,Pain Management,"8866 Maria Turnpike
Paulmouth, IA 29239",947.474.9633,7268779398,False
MED_12,Dr. Carolyn Wilson,Chiropractic,"PSC 5023, Box 7438
APO AP 65871",245.705.2194,4311738516,False
MED_13,Dr. Paul Johnson,Orthopedics,"91459 Hayes Lodge Suite 098
Beverlyside, CO 58052",001-947-636-6539x78858,7215419877,False
MED_14,Dr. Shelby Chavez,Pain Management,"4961 Sanchez Port Suite 257
Timfort, KY 31565",321.323.8487x756,6309628819,False
MED_15,Dr. Kevin Barnett,Chiropractic,"29000 Lawrence Island
Michaelville, NV 30662",(458)654-0591x9344,1755566880,False
MED_16,Dr. Nancy Harrison,Chiropractic,"Unit 3933 Box 0653
DPO AE 49241",859.475.9809,2163671981,False
MED_17,Dr. Barbara Powell,Orthopedics,"757 Kimberly Turnpike Suite 376
North Brianna, NJ 60224",998.936.6609,8827226296,False
MED_18,Dr. Diamond Cox,Chiropractic,"629 Gina Brook
Salazarburgh, UT 19842",(652)378-2546x3059,7463949129,False
MED_19,Dr. Bryan Ellis,Pain Management,"45819 Lambert Parkways Suite 075
Kathyside, AS 00791",(236)959-7268x395,4182205255,False
MED_20,Dr. Robert Christian,Neurology,"2128 Lonnie Plaza Apt. 870
South Michelle, NC 44226",679.382.1492,5251434364,False
MED_21,Dr. David Harrell,Neurology,"085 Arthur Points
Franceshaven, IL 56213",001-981-967-2386x65606,8306613605,False
MED_22,Dr. Joann Sanchez,Physical Therapy,"PSC 5410, Box 5772
APO AA 02065",902-458-9881x0855,5202194187,False
MED_23,Dr. Mr. Ian Kennedy,Neurology,"41041 Brown Mountain
Bethanyville, MO 50174",8813611556,9581891017,False
MED_24,Dr. Michael Alexander,Pain Management,"04584 Stacy Plaza
East Connie, AK 53734",001-790-864-9493,7082935229,False
MED_25,Dr. Sarah Banks,Orthopedics,"363 Richard Oval
Port Fred, MN 43126",001-881-870-8335x14244,3016562299,False
MED_26,Dr. Amanda Williams,Orthopedics,"98048 Simpson Expressway Suite 140
Rodriguezmouth, AR 74508",001-387-831-7098,8459510020,False
MED_27,Dr. Susan Garcia,Orthopedics,"PSC 3846, Box 9128
APO AE 48320",7169454662,994861164,False
MED_28,Dr. Gregory Fisher,Chiropractic,"876 Kayla Estates Suite 794
Ramirezton, OH 08355",+1-898-297-1733x1571,8133835992,False
MED_29,Dr. Todd Wilcox,Orthopedics,"1650 Baker Cove Suite 264
Tanyahaven, WA 83452",(396)594-5419,7807396546,False
MED_30,Dr. Dawn Hunter,Neurology,"93837 Brooke Islands
West Rachel, GU 62789",+1-560-774-1464x40261,5116516070,False
MED_31,Dr. Harry Cruz,Physical Therapy,"2138 Mcmillan Wall
Melvintown, OK 87927",(242)652-7505x688,9328338426,False
MED_32,Dr. Christopher Jones,Pain Management,"0293 Moreno Cove
East Richard, GA 59654",632.862.7767,9120883261,False
MED_33,Dr. Eileen Cruz,Orthopedics,"Unit 7492 Box 9449
DPO AP 25913",636-275-7266,1418774231,False
MED_34,Dr. Jay Gonzales,Orthopedics,"31613 Timothy Ranch
West Johnton, PW 27681",+1-283-333-1518,6004420584,False
MED_35,Dr. Robert Moore,Chiropractic,"93889 Friedman Cliffs
West Joshuabury, OK 63943",+1-315-273-4159,7188701632,False
MED_36,Dr. Alexandria Fisher,Neurology,"0460 Robert Shoal Apt. 247
East Sarah, MA 14232",+1-682-261-3506x2108,4627340076,False
MED_37,Dr. Sarah Wu,Pain Management,"2981 Anne Ridge
Dayburgh, VI 55898",666.250.8368x16821,5265782058,False
MED_38,Dr. Mrs. Melissa Chavez,Pain Management,"PSC 3903, Box 9092
APO AE 07323",462-360-7024x74857,992294298,False
MED_39,Dr. Joseph Preston,Physical Therapy,"USNS Carlson
FPO AE 23166",(597)625-4014,8088862204,False
